구별,의료기관명,의료기관종별,의료기관주소(도로명),의료기관전화번호,데이터기준일자
분당구,나드리의원,의원,"경기도 성남시 분당구 황새울로 315, 5층 502-1, 502-2호 (서현동, 대현빌딩)",031-701-9331,2026-03-04
분당구,윤덕상치과의원,치과의원,"경기도 성남시 분당구 돌마로 481, 3층 307호 (서현동, 분당우성프라자)",031-701-9575,2026-03-04
분당구,분당뉴욕치과의원,치과의원,"경기도 성남시 분당구 서현로210번길 20, 304호,302호일부호 (서현동, 코코프라자)",031-701-9944,2026-03-04
분당구,누베베한의원,한의원,"경기도 성남시 분당구 성남대로926번길 10, 2층 일부호 (야탑동, 탑빌딩)",031-702-0045,2026-03-04
분당구,뷰티플러스치과의원,치과의원,"경기도 성남시 분당구 황새울로342번길 11, 4층 405호 (서현동, 금호리빙)",031-702-0054,2026-03-04
분당구,여사랑한의원,한의원,"경기도 성남시 분당구 분당로263번길 39, 205호 (서현동, 레이디파크)",031-702-0388,2026-03-04
분당구,한빛치과의원,치과의원,"경기도 성남시 분당구 성남대로 934, 401호 (야탑동, 궁전프라자)",031-702-0515,2026-03-04
분당구,늘바른정형외과의원,의원,"경기도 성남시 분당구 분당로263번길 39, 레이디파크빌딩 208, 209, 210 일부호 (서현동)",031-702-0717,2026-03-04
분당구,키즈엔젤치과의원,치과의원,"경기도 성남시 분당구 성남대로331번길 3-3, 301호 (정자동, 젤존타워III)",031-702-1004,2026-03-04
분당구,우리들한의원,한의원,"경기도 성남시 분당구 돌마로 478, 301호 (서현동, 효자촌프라자)",031-702-1188,2026-03-04
분당구,21세기의원,의원,"경기도 성남시 분당구 돌마로 482, 주영빌딩 2층 (서현동)",031-702-2021,2026-03-04
분당구,야탑경희한의원,한의원,"경기도 성남시 분당구 벌말로40번길 3, 2층 (야탑동, 성산빌딩)",031-702-2075,2026-03-04
분당구,다나치과의원,치과의원,"경기도 성남시 분당구 황새울로342번길 9, 5층 (서현동, 정현빌딩)",031-702-2828,2026-03-04
분당구,심미치과의원,치과의원,"경기도 성남시 분당구 중앙공원로 35, 206호 (서현동, 올림픽스포츠센터)",031-702-2858,2026-03-04
분당구,장지철치과의원,치과의원,"경기도 성남시 분당구 황새울로 326, 3층 (서현동, 서현빌딩상가동)",031-702-2882,2026-03-04
분당구,생기한의원,한의원,"경기도 성남시 분당구 서현로210번길 2, 401호 (서현동, 성지하이츠텔)",031-702-3075,2026-03-04
분당구,제이탑정형외과의원,의원,"경기도 성남시 분당구 성남대로779번길 26, 서안빌딩 4~5층 (이매동)",031-702-3333,2026-03-04
분당구,전소아과의원,의원,"경기도 성남시 분당구 불정로 379, 302호 (서현동, 분당서현프라자)",031-702-4976,2026-03-04
분당구,모두의 정신건강의학과의원,의원,"경기도 성남시 분당구 황새울로342번길 9, 서울문고 6층 일부호 (서현동)",031-702-5202,2026-03-04
분당구,이효근 정신건강의학과의원,의원,"경기도 성남시 분당구 분당로53번길 22, 블루홀플라자 5층 2호 (서현동)",031-702-5253,2026-03-04
분당구,분당세란치과의원,치과의원,"경기도 성남시 분당구 돌마로476번길 31, 211호 (서현동, 임광근린상가)",031-702-5450,2026-03-04
분당구,박상복치과의원,치과의원,"경기도 성남시 분당구 불정로376번길 37, 303호 (서현동, 범한프라자)",031-702-5743,2026-03-04
분당구,분당미소한의원,한의원,"경기도 성남시 분당구 야탑로81번길 10, 202호 (야탑동)",031-702-7510,2026-03-04
분당구,분당새로이치과의원,치과의원,"경기도 성남시 분당구 불정로376번길 7, 건일빌딩 4층 일부호 (서현동)",031-702-7522,2026-03-04
분당구,올림픽한의원,한의원,"경기도 성남시 분당구 중앙공원로 35, 2층 209호 (서현동, 분당올림픽스포츠센터)",031-702-7525,2026-03-04
분당구,해솔치과의원,치과의원,"경기도 성남시 분당구 동판교로 59, 자유퍼스트프라자1 502호 (백현동)",031-702-7528,2026-03-04
분당구,분당박소아청소년과의원,의원,"경기도 성남시 분당구 양현로94번길 21, 304호 (이매동, 분당코아빌딩)",031-702-7585,2026-03-04
분당구,은혜한의원,한의원,"경기도 성남시 분당구 대왕판교로606번길 58, 판교푸르지오월드마크 2-32호 (삼평동)",031-702-7588,2026-03-04
분당구,한광선소아청소년과의원,의원,"경기도 성남시 분당구 야탑로 95, 5층 6호 (야탑동, 세신옴니코아)",031-702-7792,2026-03-04
분당구,본척척재활의학과의원,의원,"경기도 성남시 분당구 성남대로916번길 5, 관보골든쇼핑스포츠빌딩 2층 일부호 (야탑동)",031-702-8575,2026-03-04
분당구,성남탑영상의학과의원,의원,"경기도 성남시 분당구 야탑로75번길 9, 201호 (야탑동, 금호프라자)",031-702-9191,2026-03-04
분당구,서울탑치과의원,치과의원,"경기도 성남시 분당구 벌말로 35, 401호 (야탑동, 대명빌딩)",031-702-9705,2026-03-04
분당구,청암한의원,한의원,"경기도 성남시 분당구 불정로376번길 37, 범한프라자 3층 307호 (서현동)",031-702-9988,2026-03-04
분당구,연세보스톤치과의원,치과의원,"경기도 성남시 분당구 분당로263번길 39, 306호 (서현동, 레이디파크)",031-703-0032,2026-03-04
분당구,도O한의원,한의원,"경기도 성남시 분당구 분당로53번길 19, 302호 (서현동, 피아자코코)",031-703-0071,2026-03-04
분당구,나라의원,의원,"경기도 성남시 분당구 중앙공원로 35, 올림픽스포츠센터 2층 205호, 208호 (서현동)",031-703-0542,2026-03-04
분당구,분당21세기의원,의원,"경기도 성남시 분당구 서현로321번길 10, 3층일부, 4층 (서현동)",031-703-1021,2026-03-04
분당구,판교청구경희한의원,한의원,"경기도 성남시 분당구 대왕판교로606번길 39, 404~405호 (삼평동, 럭스타워)",031-703-1070,2026-03-04
분당구,탑으뜸한의원,한의원,"경기도 성남시 분당구 판교로 443, 201,202호 (야탑동, 중앙퍼지마트)",031-703-1075,2026-03-04
분당구,민치과의원,치과의원,"경기도 성남시 분당구 야탑로 245, 목련프라자 3층 303,304호 (야탑동)",031-703-1340,2026-03-04
분당구,엘성형외과의원,의원,"경기도 성남시 분당구 황새울로351번길 10, 여암빌딩 2층 (서현동)",031-703-1400,2026-03-04
분당구,하늘치과의원,치과의원,"경기도 성남시 분당구 성남대로 934, 6층 601호,602호 (야탑동, 궁전프라자-2)",031-703-2080,2026-03-04
분당구,고려튼튼의원,의원,"경기도 성남시 분당구 판교로 374, 스타식스코아2 2층 (삼평동)",031-703-2900,2026-03-04
분당구,분당예쁨주의쁨의원,의원,"경기도 성남시 분당구 분당로53번길 12, 서현나산플라자 402,403호 (서현동)",031-703-3010,2026-03-04
분당구,펄피부과의원,의원,"경기도 성남시 분당구 분당로 43, 2층 일부호 (서현동, 나우빌딩)",031-703-3733,2026-03-04
분당구,예라인의원,의원,"경기도 성남시 분당구 돌마로 47, 이코노샤르망 506호 (금곡동)",031-703-4400,2026-03-04
분당구,삼성편한내과의원,의원,"경기도 성남시 분당구 운중로 233, 202,203호 (판교동, 한솔프라자)",031-703-5075,2026-03-04
분당구,노숙영앤유신경과의원,의원,"경기도 성남시 분당구 서현로210번길 20, 403호 (서현동, 코코프라자)",031-703-5558,2026-03-04
분당구,바른세상병원,병원,"경기도 성남시 분당구 야탑로75번길 5, 중앙빌딩 지1~5층 (야탑동)",031-703-5575,2026-03-04
분당구,경희바른한의원,한의원,"경기도 성남시 분당구 동판교로 59, 자유퍼스트프라자1 305호 (백현동)",031-703-5583,2026-03-04
분당구,명인한의원,한의원,"경기도 성남시 분당구 야탑로 95, 세신옴니코아빌딩 512호 (야탑동)",031-703-5757,2026-03-04
분당구,이원익한의원,한의원,"경기도 성남시 분당구 성남대로779번길 50, 5층 (이매동, MGD)",031-703-5775,2026-03-04
분당구,행복한내과의원,의원,"경기도 성남시 분당구 양현로94번길 19, 새남서울조합상가  303호, 304호 (이매동)",031-703-7401,2026-03-04
분당구,분당수요양병원,요양병원(일반요양병원),"경기도 성남시 분당구 판교로 473, 2,3,4,5층 일부호 (야탑동)",031-703-7500,2026-03-04
분당구,가족사랑한의원,한의원,"경기도 성남시 분당구 성남대로926번길 6, 401호 (야탑동, 대덕프라자)",031-703-7521,2026-03-04
분당구,삼성은내과의원,의원,"경기도 성남시 분당구 성남대로925번길 11, 유니마트 206호 (야탑동)",031-703-7575,2026-03-04
분당구,본치과의원,치과의원,"경기도 성남시 분당구 성남대로 906, 5층일부호 (야탑동, 국민은행)",031-703-7683,2026-03-04
분당구,속속린내과의원,의원,"경기도 성남시 분당구 동판교로 61, 자유퍼스트프라자2 601, 602, 603호 (백현동)",031-703-7707,2026-03-04
분당구,분당메디본신경외과의원,의원,"경기도 성남시 분당구 서현로321번길 10, 2층 201호 (서현동)",031-703-7730,2026-03-04
분당구,판교이엠365의원,의원,"경기도 성남시 분당구 운중로 242, 104호, 112호, 113호, 301호, 303호, 304호, 308호 (판교동)",031-703-8475,2026-03-04
분당구,분당웰탑신경외과의원,의원,"경기도 성남시 분당구 판교로 435, 동양프라자 2층 201호 (야탑동)",031-703-9110,2026-03-04
분당구,메디사랑치과의원,치과의원,"경기도 성남시 분당구 장미로 198, 103호 (야탑동, 아델파크빌)",031-703-9928,2026-03-04
분당구,분당더바른마취통증의학과의원,의원,"경기도 성남시 분당구 분당로53번길 22, 블루홀플라자 2층 (서현동)",031-704-0222,2026-03-04
분당구,분당삼성한의원,한의원,"경기도 성남시 분당구 서현로210번길 2, 4층 일부호 (서현동, 성지하이츠텔)",031-704-1075,2026-03-04
분당구,미앤미의원,의원,"경기도 성남시 분당구 황새울로360번길 21, 405호,406호 (서현동, 분당서현신영팰리스타워)",031-704-1171,2026-03-04
분당구,청이담한의원,한의원,"경기도 성남시 분당구 황새울로342번길 9, 서울문고 7층 (서현동)",031-704-2075,2026-03-04
분당구,선치과의원,치과의원,"경기도 성남시 분당구 벌말로40번길 3, 4층 (야탑동, 성산빌딩)",031-704-2884,2026-03-04
분당구,예손치과의원,치과의원,"경기도 성남시 분당구 서현로210번길 14, 304호 (서현동, 유성트윈프라자 동관)",031-704-2888,2026-03-04
분당구,미소담치과의원,치과의원,"경기도 성남시 분당구 중앙공원로40번길 4, 현대카스올림픽골프파크 211호 (서현동)",031-704-3321,2026-03-04
분당구,일맥한의원,한의원,"경기도 성남시 분당구 황새울로 326, 5층 (서현동, 서현빌딩 별관)",031-704-3777,2026-03-04
분당구,루비산부인과의원,의원,"경기도 성남시 분당구 황새울로342번길 23, 4층 402호 (서현동, 기영프라자)",031-704-3933,2026-03-04
분당구,성가치과의원,치과의원,"경기도 성남시 분당구 야탑로69번길 24-8, 411호 (야탑동, 분당종합상가)",031-704-4555,2026-03-04
분당구,문치과의원,치과의원,"경기도 성남시 분당구 서현로 181, 303호 (이매동, 한신아파트단지내상가)",031-704-4812,2026-03-04
분당구,정금한의원,한의원,"경기도 성남시 분당구 돌마로486번길 6, 상록프라자 204호 (서현동)",031-704-5075,2026-03-04
분당구,365에스와이(SY)서울연세이비인후과의원,의원,"경기도 성남시 분당구 서현로210번길 20, 3,4층 305-3,306,402호 (서현동, 코코프라자)",031-704-5275,2026-03-04
분당구,서울아름치과의원,치과의원,"경기도 성남시 분당구 판교로 438, 2층 (이매동, 낫소빌딩)",031-704-5300,2026-03-04
분당구,서현좋은꿈참사랑한의원,한의원,"경기도 성남시 분당구 분당로263번길 35, 서현굿모닝프라자 202호 (서현동)",031-704-7055,2026-03-04
분당구,구대회현미경치과의원,치과의원,"경기도 성남시 분당구 서현로 192, 야베스밸리 207호 (서현동)",031-704-7528,2026-03-04
분당구,서울리드내과의원,의원,"경기도 성남시 분당구 성남대로926번길 6, 야탑 대덕프라자 6층 605호, 606호, 607호 (야탑동)",031-704-7582,2026-03-04
분당구,위드심의원,의원,"경기도 성남시 분당구 황새울로 353, 6층 (서현동)",031-704-7757,2026-03-04
분당구,안진구치과의원,치과의원,"경기도 성남시 분당구 장미로 55, 195동 204,304호 (야탑동, 근린상가)",031-704-7770,2026-03-04
분당구,더공감치과의원,치과의원,"경기도 성남시 분당구 성남대로916번길 11, 201호 (야탑동, 글라스타워)",031-704-8228,2026-03-04
분당구,리즈온의원,의원,"경기도 성남시 분당구 분당로53번길 11, 4층 일부호 (서현동, 서원프라자)",031-705-0870,2026-03-04
분당구,판교봉정형외과의원,의원,"경기도 성남시 분당구 대왕판교로 660, 유스페이스1 305, 209-1호 (삼평동)",031-705-1000,2026-03-04
분당구,경희인수당한의원,한의원,"경기도 성남시 분당구 돌마로 481, 분당우성프라자 203호 (서현동)",031-705-1002,2026-03-04
분당구,분당심명섭한의원,한의원,"경기도 성남시 분당구 이매로 49, 204호 (이매동, 주영빌딩)",031-705-1075,2026-03-04
분당구,판교퍼스트정형외과의원,의원,"경기도 성남시 분당구 대왕판교로 660, 유스페이스1 B동 3층 315호,317호호 (삼평동)",031-705-1111,2026-03-04
분당구,이즈메디의원,의원,"경기도 성남시 분당구 서현로 192, 902 일부호 (서현동, 야베스밸리)",031-705-1575,2026-03-04
분당구,엘치과의원,치과의원,"경기도 성남시 분당구 성남대로916번길 7, 104호 (야탑동, 서일빌딩)",031-705-1618,2026-03-04
분당구,삼성이편한치과의원,치과의원,"경기도 성남시 분당구 야탑로 94, 4층 일부호 (야탑동)",031-705-2020,2026-03-04
분당구,연플러스치과의원,치과의원,"경기도 성남시 분당구 판교로 434, 3층 (이매동, 명건빌딩)",031-705-2025,2026-03-04
분당구,연세예치과의원,치과의원,"경기도 성남시 분당구 양현로 126, 306호 (이매동, 미림프라자)",031-705-2031,2026-03-04
분당구,판교탑치과의원,치과의원,"경기도 성남시 분당구 운중로 242, 3층 306호 (판교동, 리버스토리)",031-705-2275,2026-03-04
분당구,한미치과의원,치과의원,"경기도 성남시 분당구 이매로 51, 305호 (이매동, 한라프라자)",031-705-2814,2026-03-04
분당구,미소고운치과의원,치과의원,"경기도 성남시 분당구 판교로 478, 301호 (이매동, 금강프라자)",031-705-2875,2026-03-04
분당구,마음드림치과의원,치과의원,"경기도 성남시 분당구 성남대로 926, 분당메트로 7층 703호 (야탑동)",031-705-2879,2026-03-04
분당구,서울삼성가정의학과의원,의원,"경기도 성남시 분당구 장미로 101, 1202호 (야탑동, 장미마을 근린상가)",031-705-3395,2026-03-04
분당구,닥터지피부과의원,의원,"경기도 성남시 분당구 서현로210번길 20, 코코프라자 502호 (서현동)",031-705-4476,2026-03-04
분당구,이레한의원,한의원,"경기도 성남시 분당구 성남대로 912, 404~406호 (야탑동, 분당BYC빌딩)",031-705-5533,2026-03-04
분당구,주성한의원,한의원,"경기도 성남시 분당구 중앙공원로31번길 42, 214-1호 (서현동, 서현파크플라자)",031-705-5659,2026-03-04
분당구,선현주한의원,한의원,"경기도 성남시 분당구 동판교로 61, 자유퍼스트프라자2 301호 (백현동)",031-705-7272,2026-03-04
분당구,복음치과의원,치과의원,"경기도 성남시 분당구 야탑로69번길 8, 503호 (야탑동, 한주코아)",031-705-7528,2026-03-04
분당구,에이플러스치과의원,치과의원,"경기도 성남시 분당구 분당로53번길 9, 3층 305호 (서현동)",031-705-7575,2026-03-04
분당구,천지인한의원,한의원,"경기도 성남시 분당구 중앙공원로39번길 49, 207호 (서현동, 지엔느오피스텔)",031-705-7585,2026-03-04
분당구,야탑터미널정형외과의원,의원,"경기도 성남시 분당구 성남대로925번길 11, 유니마트 201호,211호,212호 (야탑동)",031-705-7588,2026-03-04
분당구,최낙구치과의원,치과의원,"경기도 성남시 분당구 성남대로779번길 54, 402호 (이매동, 동산쇼핑)",031-705-7742,2026-03-04
분당구,숨쉬는한의원,한의원,"경기도 성남시 분당구 판교로 434, 명건빌딩 2층 201(일부)호 (이매동)",031-705-8778,2026-03-04
분당구,링클스탑의원,의원,"경기도 성남시 분당구 서현로 184, 엘지분당에클라트 217호 (서현동)",031-706-0015,2026-03-04
분당구,이가한의원,한의원,"경기도 성남시 분당구 야탑로 243, 303호 (야탑동, 부건프라자)",031-706-1275,2026-03-04
분당구,서울원치과의원,치과의원,"경기도 성남시 분당구 운중로 233, 한솔프라자 301호 (판교동)",031-706-2275,2026-03-04
분당구,분당형치과의원,치과의원,"경기도 성남시 분당구 분당로263번길 35, 203호 (서현동, 굿모닝프라자)",031-706-2855,2026-03-04
분당구,서울리인치과교정과의원,치과의원,"경기도 성남시 분당구 판교역로 178, 서건타워 6층 602호 (삼평동)",031-706-2879,2026-03-04
분당구,판교올치과의원,치과의원,"경기도 성남시 분당구 동판교로 61, 3층 303호 (백현동, 자유퍼스트프라자Ⅱ)",031-706-2889,2026-03-04
분당구,경희기린한의원,한의원,"경기도 성남시 분당구 황새울로335번길 8, 3층 (서현동, 덕산빌딩)",031-706-3481,2026-03-04
분당구,분당삼성의원,의원,"경기도 성남시 분당구 이매로 51, 304호 (이매동, 한라프라자)",031-706-4343,2026-03-04
분당구,좋은항외과의원,의원,"경기도 성남시 분당구 성남대로 926, 306,307호 (야탑동, 메트로빌딩)",031-706-4504,2026-03-04
분당구,신유호정신건강의학과의원,의원,"경기도 성남시 분당구 분당로53번길 9, 301호 (서현동, 에이원프라자)",031-706-4824,2026-03-04
분당구,미라클 병원,병원,"경기도 성남시 분당구 매화로 39, 광명조합상가 2~5층 (야탑동)",031-706-5000,2026-03-04
분당구,혜담한의원,한의원,"경기도 성남시 분당구 황새울로335번길 5, 401일부호 (서현동, 앤 타운빌딩)",031-706-5875,2026-03-04
분당구,류장춘치과의원,치과의원,"경기도 성남시 분당구 양현로94번길 21, 305호 (이매동, 분당코아빌딩)",031-706-6640,2026-03-04
분당구,탑플러스치과의원,치과의원,"경기도 성남시 분당구 성남대로916번길 11, 글라스타워 1층 105, 106호 (야탑동)",031-706-7528,2026-03-04
분당구,리나산부인과의원,의원,"경기도 성남시 분당구 성남대로926번길 6, 야탑 대덕프라자 4층 402호 (야탑동)",031-706-7582,2026-03-04
분당구,분당8+1한의원,한의원,"경기도 성남시 분당구 서현로180번길 13, 301호 (서현동, 서현프라자)",031-706-8288,2026-03-04
분당구,분당연세비뇨의학과의원,의원,"경기도 성남시 분당구 황새울로335번길 5, N타운빌딩 8층 803호 (서현동)",031-706-8292,2026-03-04
분당구,분당센트럴요양병원,요양병원(일반요양병원),"경기도 성남시 분당구 양현로94번길 17, 지1층~5층 (이매동)",031-706-9090,2026-03-04
분당구,에이스정형외과의원,의원,"경기도 성남시 분당구 운중로 120, 201호,202호 (운중동, 청호델피노)",031-707-0609,2026-03-04
분당구,판교경희한의원,한의원,"경기도 성남시 분당구 판교역로192번길 16, 6층 611호 (삼평동, 판교타워)",031-707-1075,2026-03-04
분당구,서울기운찬정형외과의원,의원,"경기도 성남시 분당구 돌마로 482, 주영빌딩 4층 (서현동)",031-707-1111,2026-03-04
분당구,이승호치과의원,치과의원,"경기도 성남시 분당구 이매로 13, 306호 (이매동, 뉴선경프라자)",031-707-1246,2026-03-04
분당구,연세에스치과의원,치과의원,"경기도 성남시 분당구 정자일로 55, 109동 306호 (금곡동, 분당두산위브상가)",031-707-1875,2026-03-04
분당구,아름다운치과의원,치과의원,"경기도 성남시 분당구 서현로210번길 2, 303,304호 (서현동, 성지하이츠텔)",031-707-2119,2026-03-04
분당구,연세우리치과의원,치과의원,"경기도 성남시 분당구 황새울로 325, 304호,305호 (서현동, 서현하우비)",031-707-2852,2026-03-04
분당구,서울바른이치과의원,치과의원,"경기도 성남시 분당구 서현로 184, 215호 (서현동, LG분당에클라트)",031-707-2875,2026-03-04
분당구,연세성형외과의원,의원,"경기도 성남시 분당구 황새울로360번길 28, 은성프라자 3층 304호 (서현동)",031-707-2888,2026-03-04
분당구,분당톡스앤필의원,의원,"경기도 성남시 분당구 성남대로343번길 12-2, 5층 (정자동)",031-707-3500,2026-03-04
분당구,해율한의원,한의원,"경기도 성남시 분당구 서현로 204, 엘지에클라트2 406호 (서현동)",031-707-3772,2026-03-04
분당구,서판교소아청소년과의원,의원,"경기도 성남시 분당구 운중로 253, 티에스로드1 2층 201~203호 (판교동)",031-707-3992,2026-03-04
분당구,리체안한의원,한의원,"경기도 성남시 분당구 서현로210번길 20, 301,302호 (서현동, 코코프라자)",031-707-4200,2026-03-04
분당구,분당평강한의원,한의원,"경기도 성남시 분당구 방아로 9, MI-RAE B/D 2층 (이매동)",031-707-5077,2026-03-04
분당구,오세철정신건강의학과의원,의원,"경기도 성남시 분당구 운중로 118, 스타타워 302호 (운중동)",031-707-5372,2026-03-04
분당구,아트앤치과의원,치과의원,"경기도 성남시 분당구 서현로 184, 202호 (서현동, 엘지분당에클라트)",031-707-6060,2026-03-04
분당구,연세베스트외과의원,의원,"경기도 성남시 분당구 서현로 192, 403호 (서현동, 야베스밸리)",031-707-7100,2026-03-04
분당구,신현대치과의원,치과의원,"경기도 성남시 분당구 매화로 92, 201호 (야탑동, 매화마을 공무원아파트상가)",031-707-7153,2026-03-04
분당구,서현 황제한의원,한의원,"경기도 성남시 분당구 황새울로 315, DB손해보험 분당사옥 201호 (서현동)",031-707-7533,2026-03-04
분당구,판교정신건강의학과의원,의원,"경기도 성남시 분당구 운중로 120, 청호델피노 303호 (운중동)",031-707-7573,2026-03-04
분당구,판교서울치과교정과치과의원,치과의원,"경기도 성남시 분당구 대왕판교로606번길 58, 판교푸르지오월드마크 2-42,2-43호 (삼평동)",031-707-7595,2026-03-04
분당구,서현기린한의원,한의원,"경기도 성남시 분당구 분당로53번길 10, 301호 (서현동, 동호프라자)",031-707-8003,2026-03-04
분당구,연세지니소아청소년과의원,의원,"경기도 성남시 분당구 장미로 198, 아델파크빌 1층 104-3일부호, 104-4호 (야탑동)",031-707-8008,2026-03-04
분당구,라파이비인후과의원,의원,"경기도 성남시 분당구 분당로263번길 35 (서현동, 서현굿모닝프라자)",031-707-8184,2026-03-04
분당구,판교성모내과의원,의원,"경기도 성남시 분당구 운중로 115, 502호 (운중동)",031-707-8275,2026-03-04
분당구,자명한의원,한의원,"경기도 성남시 분당구 방아로 25, 2층 (이매동)",031-707-8575,2026-03-04
분당구,판교서울이비인후과의원,의원,"경기도 성남시 분당구 운중로 142, 판교메디칼타워 502, 503호 (운중동)",031-707-8909,2026-03-04
분당구,성모요양병원,요양병원(일반요양병원),경기도 성남시 분당구 새나리로 13 (야탑동),031-707-9100,2026-03-04
분당구,형주한의원,한의원,"경기도 성남시 분당구 대왕판교로606번길 58, 2-28호 (삼평동, 판교푸르지오월드마크)",031-707-9333,2026-03-04
분당구,유앤미의원,의원,"경기도 성남시 분당구 분당로53번길 19, 402,403일부호 (서현동, 피아자코코빌딩)",031-707-9931,2026-03-04
분당구,동신한의원,한의원,"경기도 성남시 분당구 서현로210번길 2, 301호 (서현동, 성지하이츠텔)",031-707-9993,2026-03-04
분당구,21세기치과의원,치과의원,"경기도 성남시 분당구 돌마로 482, 3층 (서현동, 주영빌딩)",031-708-0021,2026-03-04
분당구,서울Y치과의원,치과의원,"경기도 성남시 분당구 대왕판교로606번길 41, 501~502호 (삼평동, 프라임스퀘어)",031-708-0028,2026-03-04
분당구,분당동안의원,의원,"경기도 성남시 분당구 황새울로360번길 35, 서현현대프라자 4층 407-408호 (서현동)",031-708-0822,2026-03-04
분당구,경희판교부부한의원,한의원,"경기도 성남시 분당구 판교로 376, 402,403호 (삼평동, 마크시티 퍼플)",031-708-1089,2026-03-04
분당구,보스턴키즈치과의원,치과의원,"경기도 성남시 분당구 서현로 204, 404호 (서현동, 엘지에클라트2차)",031-708-1221,2026-03-04
분당구,파인트리피부과의원,의원,"경기도 성남시 분당구 운중로 140, 메트로골드 502,503호 (운중동)",031-708-2080,2026-03-04
분당구,탑치과의원,치과의원,"경기도 성남시 분당구 판교로 435 (야탑동, 동양프라자)",031-708-2666,2026-03-04
분당구,장치영치과의원,치과의원,"경기도 성남시 분당구 중앙공원로31번길 42, 213호 (서현동, 서현파크프라자)",031-708-2825,2026-03-04
분당구,분당하얀치과의원,치과의원,"경기도 성남시 분당구 서현로321번길 10, 301호 (서현동, 승영지빌딩)",031-708-2827,2026-03-04
분당구,미소선치과의원,치과의원,"경기도 성남시 분당구 서현로180번길 13, 303호 (서현동, 서현프라자)",031-708-2875,2026-03-04
분당구,365매일한방병원,한방병원,"경기도 성남시 분당구 성남대로916번길 5, 관보골든쇼핑스포츠빌딩 4,5층 503,504호 (야탑동)",031-708-3650,2026-03-04
분당구,서울에펠치과의원,치과의원,"경기도 성남시 분당구 동판교로177번길 25, 209호 (삼평동, 판교 호반 써밋 플레이스)",031-708-4528,2026-03-04
분당구,네이처성형외과의원,의원,"경기도 성남시 분당구 서현로 204, 302호 (서현동, 엘지분당에클라트2차)",031-708-5117,2026-03-04
분당구,젊음 건강 그리고 행복의원,의원,"경기도 성남시 분당구 서현로 435, 1, 2, 3층 (분당동)",031-708-5600,2026-03-04
분당구,서현삼성산부인과의원,의원,"경기도 성남시 분당구 황새울로342번길 9, 서울문고 4층 (서현동)",031-708-7001,2026-03-04
분당구,유니드한의원,한의원,"경기도 성남시 분당구 판교로 436, 1층 5~8호 13호 (이매동, 홍우프라자)",031-708-7077,2026-03-04
분당구,판교연세힐정형외과의원,의원,"경기도 성남시 분당구 대왕판교로606번길 41, 프라임스퀘어 3층 301~304호 (삼평동)",031-708-7555,2026-03-04
분당구,조은소아청소년과의원,의원,"경기도 성남시 분당구 판교로 374, 스타식스코아2 301호 (삼평동)",031-708-7582,2026-03-04
분당구,우리의원,의원,"경기도 성남시 분당구 벌말로 10, 201호 (야탑동, 목련마을 아파트 상가)",031-708-7588,2026-03-04
분당구,헤라성형외과의원,의원,"경기도 성남시 분당구 서현로210번길 20, 코코프라자 404호 (서현동)",031-708-8252,2026-03-04
분당구,연세나노치과의원,치과의원,"경기도 성남시 분당구 서현로 192, 3층 302호 (서현동, 야베스밸리)",031-708-8275,2026-03-04
분당구,분당모두의사랑니치과의원,치과의원,"경기도 성남시 분당구 황새울로 337, 웰빙프라자 401 일부호 (서현동)",031-708-8287,2026-03-04
분당구,도원한의원,한의원,"경기도 성남시 분당구 운중로 142, 3층 301호 (운중동, 판교메디칼타워)",031-708-8575,2026-03-04
분당구,경희이지한의원,한의원,"경기도 성남시 분당구 중앙공원로40번길 4, 204호 (서현동, 현대카스올림픽골프파크)",031-708-8876,2026-03-04
분당구,(의)열린의료재단 분당열린의원,의원,"경기도 성남시 분당구 분당로53번길 22, 4층 (서현동, 블루홀빌딩)",031-708-9393,2026-03-04
분당구,사는기쁨치과의원,치과의원,"경기도 성남시 분당구 운중로 140, 402호 (운중동, 메트로골드)",031-708-9750,2026-03-04
분당구,유디서현치과의원,치과의원,"경기도 성남시 분당구 황새울로360번길 35, 3층 (서현동, 현대프라자)",031-709-0011,2026-03-04
분당구,분당연합의원,의원,"경기도 성남시 분당구 판교로 441, 202~204호 206호 (야탑동, 남서울프라자)",031-709-0848,2026-03-04
분당구,하얀이치과의원,치과의원,"경기도 성남시 분당구 장미로 139, 2층 일부(201호)호 (야탑동, 매화마을공무원아파트)",031-709-0951,2026-03-04
분당구,노엘치과의원,치과의원,"경기도 성남시 분당구 성남대로779번길 50, 5층 (이매동, MDG빌딩)",031-709-0962,2026-03-04
분당구,삼평동의한의원,한의원,"경기도 성남시 분당구 판교로 372, 501호 502호 (삼평동, 스타식스 코아Ⅰ)",031-709-1075,2026-03-04
분당구,카리스요양병원,요양병원(일반요양병원),경기도 성남시 분당구 불정로386번길 8 (서현동),031-709-1234,2026-03-04
분당구,바른라인한의원,한의원,"경기도 성남시 분당구 성남대로926번길 6, 야탑 대덕프라자 501,502호 (야탑동)",031-709-2030,2026-03-04
분당구,좋은꿈한의원,한의원,"경기도 성남시 분당구 성남대로779번길 17, 1층 (이매동, 한진프라자)",031-709-2575,2026-03-04
분당구,분당치과의원,치과의원,"경기도 성남시 분당구 장안로 35, 4층 (분당동, 성창빌딩)",031-709-2828,2026-03-04
